Constituency,State,Year,Code,pc_id,Status
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,2009,543,3501,
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,2019,543,3501,
ADILABAD,ANDHRA PRADESH,2009,410,2801,
AMALAPURAM,ANDHRA PRADESH,2019,411,2824,
ANAKAPALLE,ANDHRA PRADESH,2019,412,2822,
ANAKAPALLI,ANDHRA PRADESH,2004,412,2822,
ANANTAPUR,ANDHRA PRADESH,2019,413,2836,
ARAKU,ANDHRA PRADESH,2019,414,2818,
BAPATLA,ANDHRA PRADESH,2019,415,2832,
BHADRACHALAM,ANDHRA PRADESH,2004,,,abolished
BHONGIR,ANDHRA PRADESH,2009,416,2814,
BOBBILI,ANDHRA PRADESH,2004,,,abolished
CHEVELLA,ANDHRA PRADESH,2009,417,2810,
CHITTOOR,ANDHRA PRADESH,2019,418,2842,
CUDDAPAH,ANDHRA PRADESH,2004,423,2838,
ELURU,ANDHRA PRADESH,2019,419,2827,
GUNTUR,ANDHRA PRADESH,2019,420,2830,
HANAMKONDA,ANDHRA PRADESH,2004,,,abolished
HINDUPUR,ANDHRA PRADESH,2019,421,2837,
HYDERABAD,ANDHRA PRADESH,2009,422,2809,
KADAPA,ANDHRA PRADESH,2019,423,2838,
KAKINADA,ANDHRA PRADESH,2019,424,2823,
KARIMNAGAR,ANDHRA PRADESH,2009,425,2803,
KHAMMAM,ANDHRA PRADESH,2009,426,2817,
KURNOOL,ANDHRA PRADESH,2019,427,2835,
MACHILIPATNAM,ANDHRA PRADESH,2019,428,2828,
MAHABUBABAD,ANDHRA PRADESH,2009,429,2816,
MAHABUBNAGAR,ANDHRA PRADESH,2004,430,2811,
MAHBUBNAGAR,ANDHRA PRADESH,2009,430,2811,
MALKAJGIRI,ANDHRA PRADESH,2009,431,2807,
MEDAK,ANDHRA PRADESH,2009,432,2806,
MIRYALGUDA,ANDHRA PRADESH,2004,,,abolished
NAGARKURNOOL,ANDHRA PRADESH,2009,433,2812,
NALGONDA,ANDHRA PRADESH,2009,434,2813,
NANDYAL,ANDHRA PRADESH,2019,435,2834,
NARASAPUR,ANDHRA PRADESH,2004,437,2826,
NARASARAOPET,ANDHRA PRADESH,2019,436,2831,
NARSAPURAM,ANDHRA PRADESH,2019,437,2826,
NELLORE,ANDHRA PRADESH,2019,438,2839,
NIZAMABAD,ANDHRA PRADESH,2009,439,2804,
ONGOLE,ANDHRA PRADESH,2019,440,2833,
PARVATHIPURAM,ANDHRA PRADESH,2004,,,abolished
PEDDAPALLE,ANDHRA PRADESH,2009,441,2802,
PEDDAPALLI,ANDHRA PRADESH,2004,441,2802,
RAJAHMUNDRY,ANDHRA PRADESH,2019,442,2825,
RAJAMPET,ANDHRA PRADESH,2019,443,2841,
SECUNDERABAD,ANDHRA PRADESH,2009,444,2808,
SIDDIPET,ANDHRA PRADESH,2004,,,abolished
SRIKAKULAM,ANDHRA PRADESH,2019,445,2819,
TENALI,ANDHRA PRADESH,2004,,,abolished
TIRUPATHI,ANDHRA PRADESH,2004,446,2840,
TIRUPATI,ANDHRA PRADESH,2019,446,2840,
VIJAYAWADA,ANDHRA PRADESH,2019,447,2829,
VISAKHAPATNAM,ANDHRA PRADESH,2019,448,2821,
VIZIANAGARAM,ANDHRA PRADESH,2019,449,2820,
WARANGAL,ANDHRA PRADESH,2009,450,2815,
ZAHIRABAD,ANDHRA PRADESH,2009,451,2805,
ARUNACHAL EAST,ARUNACHAL PRADESH,2019,193,1202,
ARUNACHAL WEST,ARUNACHAL PRADESH,2019,194,1201,
AUTONOMOUS DISTRICT,ASSAM,2019,203,1803,
BARPETA,ASSAM,2019,204,1806,
DHUBRI,ASSAM,2019,205,1804,
DIBRUGARH,ASSAM,2019,206,1813,
GAUHATI,ASSAM,2019,207,1807,
JORHAT,ASSAM,2019,208,1812,
KALIABOR,ASSAM,2019,209,1811,
KARIMGANJ,ASSAM,2019,210,1801,
KOKRAJHAR,ASSAM,2019,211,1805,
LAKHIMPUR,ASSAM,2019,212,1814,
MANGALDOI,ASSAM,2019,213,1808,
NAWGONG,ASSAM,2019,214,1810,
NOWGONG,ASSAM,2014,214,1810,
SILCHAR,ASSAM,2019,215,1802,
TEZPUR,ASSAM,2019,216,1809,
ARARIA,BIHAR,2019,152,1009,
ARRAH,BIHAR,2019,153,1032,
AURANGABAD,BIHAR,2019,154,1037,
BAGAHA,BIHAR,2004,,,abolished
BALIA,BIHAR,2004,,,abolished
BANKA,BIHAR,2019,155,1027,
BANKA (BYE-ELECTION ON 24-06-2010),BIHAR,2009,155,1027,
BARH,BIHAR,2004,,,abolished
BEGUSARAI,BIHAR,2019,156,1024,
BETTIAH,BIHAR,2004,,,abolished
BHAGALPUR,BIHAR,2019,157,1026,
BIKRAMGANJ,BIHAR,2004,,,abolished
BUXAR,BIHAR,2019,158,1033,
CHAPRA,BIHAR,2004,,,abolished
DARBHANGA,BIHAR,2019,159,1014,
GAYA,BIHAR,2019,160,1038,
GOPALGANJ,BIHAR,2019,161,1017,
HAJIPUR,BIHAR,2019,162,1021,
JAHANABAD,BIHAR,2019,163,1036,
JAMUI,BIHAR,2019,164,1040,
JHANJHARPUR,BIHAR,2019,165,1007,
KARAKAT,BIHAR,2019,166,1035,
KATIHAR,BIHAR,2019,167,1011,
KHAGARIA,BIHAR,2019,168,1025,
KISHANGANJ,BIHAR,2019,169,1010,
MADHEPURA,BIHAR,2019,170,1013,
MADHUBANI,BIHAR,2019,171,1006,
MAHARAJGANJ,BIHAR,2019,172,1019,
MONGHYR,BIHAR,2004,173,1028,
MOTIHARI,BIHAR,2004,,,abolished
MUNGER,BIHAR,2019,173,1028,
MUZAFFARPUR,BIHAR,2019,174,1015,
NALANDA,BIHAR,2019,175,1029,
NAWADA,BIHAR,2019,176,1039,
PASCHIM CHAMPARAN,BIHAR,2019,177,1002,
PATALIPUTRA,BIHAR,2019,178,1031,
PATNA,BIHAR,2004,179,1030,
PATNA SAHIB,BIHAR,2019,179,1030,
PURNEA,BIHAR,2004,180,1012,
PURNIA,BIHAR,2019,180,1012,
PURVI CHAMPARAN,BIHAR,2019,181,1003,
ROSERA,BIHAR,2004,,,abolished
SAHARSA,BIHAR,2004,,,abolished
SAMASTIPUR,BIHAR,2019,182,1023,
SAMASTIPUR (SC),BIHAR,2019,182,1023,
SARAN,BIHAR,2019,183,1020,
SASARAM,BIHAR,2019,184,1034,
SHEOHAR,BIHAR,2019,185,1004,
SITAMARHI,BIHAR,2019,186,1005,
SIWAN,BIHAR,2019,187,1018,
SUPAUL,BIHAR,2019,188,1008,
UJIARPUR,BIHAR,2019,189,1022,
VAISHALI,BIHAR,2019,190,1016,
VALMIKI NAGAR,BIHAR,2019,191,1001,
CHANDIGARH,CHANDIGARH,2019,24,401,
BASTAR,CHHATTISGARH,2019,294,2210,
BILASPUR,CHHATTISGARH,2019,295,2205,
DURG,CHHATTISGARH,2019,296,2207,
JANJGIR,CHHATTISGARH,2004,297,2203,
JANJGIR CHAMPA,CHHATTISGARH,2019,297,2203,
JANJGIR-CHAMPA,CHHATTISGARH,2014,297,2203,
KANKER,CHHATTISGARH,2019,298,2211,
KORBA,CHHATTISGARH,2019,299,2204,
MAHASAMUND,CHHATTISGARH,2019,300,2209,
RAIGARH,CHHATTISGARH,2019,301,2202,
RAIPUR,CHHATTISGARH,2019,302,2208,
RAJNANDGAON,CHHATTISGARH,2019,303,2206,
SARANGARH,CHHATTISGARH,2004,,,abolished
SURGUJA,CHHATTISGARH,2019,304,2201,
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,2009,361,2601,
DADRA AND NAGAR HAVELI,DADRA & NAGAR HAVELI,2019,361,2601,
DAMAN & DIU,DAMAN & DIU,2009,360,2501,
DAMAN AND DIU,DAMAN & DIU,2019,360,2501,
MORMUGAO,GOA,2004,481,3002,
NORTH GOA,GOA,2019,480,3001,
PANAJI,GOA,2004,480,3001,
SOUTH GOA,GOA,2019,481,3002,
AHMEDABAD,GUJARAT,2004,,,abolished
AHMEDABAD EAST,GUJARAT,2019,334,2407,
AHMEDABAD WEST,GUJARAT,2019,335,2408,
AMRELI,GUJARAT,2019,336,2414,
ANAND,GUJARAT,2019,337,2416,
BANASKANTHA,GUJARAT,2019,338,2402,
BARDOLI,GUJARAT,2019,339,2423,
BARODA,GUJARAT,2004,358,2420,
BHARUCH,GUJARAT,2019,340,2422,
BHAVNAGAR,GUJARAT,2019,341,2415,
BROACH,GUJARAT,2004,340,2422,
BULSAR,GUJARAT,2004,359,2426,
CHHOTA UDAIPUR,GUJARAT,2019,342,2421,
DAHOD,GUJARAT,2019,343,2419,
DHANDHUKA,GUJARAT,2004,,,abolished
DOHAD,GUJARAT,2004,343,2419,
GANDHINAGAR,GUJARAT,2019,344,2406,
GODHRA,GUJARAT,2004,,,abolished
JAMNAGAR,GUJARAT,2019,345,2412,
JUNAGADH,GUJARAT,2019,346,2413,
KACHCHH,GUJARAT,2019,347,2401,
KAIRA,GUJARAT,2004,,,abolished
KAPADVANJ,GUJARAT,2004,,,abolished
KHEDA,GUJARAT,2019,348,2417,
KUTCH,GUJARAT,2004,347,2401,
MAHESANA,GUJARAT,2019,349,2404,
MANDVI,GUJARAT,2004,,,abolished
MEHSANA,GUJARAT,2004,349,2404,
NAVSARI,GUJARAT,2019,350,2425,
PANCHMAHAL,GUJARAT,2019,351,2418,
PATAN,GUJARAT,2019,352,2403,
PORBANDAR,GUJARAT,2019,353,2411,
RAJKOT,GUJARAT,2019,354,2410,
SABARKANTHA,GUJARAT,2019,355,2405,
SURAT,GUJARAT,2019,356,2424,
SURENDRANAGAR,GUJARAT,2019,357,2409,
VADODARA,GUJARAT,2019,358,2420,
VALSAD,GUJARAT,2019,359,2426,
AMBALA,HARYANA,2019,30,601,
BHIWANI,HARYANA,2004,,,abolished
BHIWANI MAHENDRAGARH,HARYANA,2019,31,608,
BHIWANI-MAHENDRAGARH,HARYANA,2009,31,608,
FARIDABAD,HARYANA,2019,32,610,
GURGAON,HARYANA,2019,33,609,
HISAR,HARYANA,2019,34,604,
HISSAR,HARYANA,2004,34,604,
KARNAL,HARYANA,2019,35,605,
KURUKSHETRA,HARYANA,2019,36,602,
MAHENDRAGARH,HARYANA,2004,,,abolished
ROHTAK,HARYANA,2019,37,607,
SIRSA,HARYANA,2019,38,603,
SONEPAT,HARYANA,2004,39,606,
SONIPAT,HARYANA,2019,39,606,
HAMIRPUR,HIMACHAL PRADESH,2019,7,203,
KANGRA,HIMACHAL PRADESH,2019,8,201,
MANDI,HIMACHAL PRADESH,2019,9,202,
SHIMLA,HIMACHAL PRADESH,2019,10,204,
SIMLA,HIMACHAL PRADESH,2004,10,204,
ANANTNAG,JAMMU & KASHMIR,2019,1,103,
BARAMULLA,JAMMU & KASHMIR,2019,2,101,
JAMMU,JAMMU & KASHMIR,2019,3,106,
LADAKH,JAMMU & KASHMIR,2019,4,104,
SRINAGAR,JAMMU & KASHMIR,2019,5,102,
UDHAMPUR,JAMMU & KASHMIR,2019,6,105,
CHATRA,JHARKHAND,2019,259,2004,
DHANBAD,JHARKHAND,2019,260,2007,
DUMKA,JHARKHAND,2019,261,2002,
GIRIDIH,JHARKHAND,2019,262,2006,
GODDA,JHARKHAND,2019,263,2003,
HAZARIBAGH,JHARKHAND,2019,264,2014,
JAMSHEDPUR,JHARKHAND,2019,265,2009,
KHUNTI,JHARKHAND,2019,266,2011,
KODARMA,JHARKHAND,2019,267,2005,
LOHARDAGA,JHARKHAND,2019,268,2012,
PALAMAU,JHARKHAND,2014,269,2013,
PALAMU,JHARKHAND,2019,269,2013,
RAJMAHAL,JHARKHAND,2019,270,2001,
RANCHI,JHARKHAND,2019,271,2008,
SINGHBHUM,JHARKHAND,2019,272,2010,
BAGALKOT,KARNATAKA,2019,452,2903,
BANGALORE CENTRAL,KARNATAKA,2019,453,2925,
BANGALORE NORTH,KARNATAKA,2019,454,2924,
BANGALORE RURAL,KARNATAKA,2019,455,2923,
BANGALORE SOUTH,KARNATAKA,2019,456,2926,
BELGAUM,KARNATAKA,2019,457,2902,
BELLARY,KARNATAKA,2019,458,2909,
BIDAR,KARNATAKA,2019,459,2907,
BIJAPUR,KARNATAKA,2019,460,2904,
CHAMARAJANAGAR,KARNATAKA,2019,461,2922,
CHIKBALLAPUR,KARNATAKA,2004,462,2927,
CHIKKBALLAPUR,KARNATAKA,2019,462,2927,
CHIKKODI,KARNATAKA,2019,463,2901,
CHIKMAGALUR,KARNATAKA,2004,,,abolished
CHITRADURGA,KARNATAKA,2019,464,2918,
DAKSHINA KANNADA,KARNATAKA,2019,465,2917,
DAVANAGERE,KARNATAKA,2019,466,2913,
DAVANGERE,KARNATAKA,2004,466,2913,
DHARWAD,KARNATAKA,2019,467,2911,
DHARWAD NORTH,KARNATAKA,2004,,,abolished
DHARWAD SOUTH,KARNATAKA,2004,,,abolished
GULBARGA,KARNATAKA,2019,468,2905,
HASSAN,KARNATAKA,2019,469,2916,
HAVERI,KARNATAKA,2019,470,2910,
KANAKAPURA,KARNATAKA,2004,,,abolished
KANARA,KARNATAKA,2004,479,2912,
KOLAR,KARNATAKA,2019,471,2928,
KOPPAL,KARNATAKA,2019,472,2908,
MANDYA,KARNATAKA,2019,473,2920,
MANGALORE,KARNATAKA,2004,465,2917,
MYSORE,KARNATAKA,2019,474,2921,
RAICHUR,KARNATAKA,2019,475,2906,
SHIMOGA,KARNATAKA,2019,476,2914,
TUMKUR,KARNATAKA,2019,477,2919,
UDUPI,KARNATAKA,2004,,,abolished
UDUPI CHIKMAGALUR,KARNATAKA,2019,478,2915,
UTTARA KANNADA,KARNATAKA,2019,479,2912,
ADOOR,KERALA,2004,,,abolished
ALAPPUZHA,KERALA,2019,483,3215,
ALATHUR,KERALA,2019,484,3209,
ALLEPPEY,KERALA,2004,483,3215,
ATTINGAL,KERALA,2019,485,3219,
BADAGARA,KERALA,2004,501,3203,
CALICUT,KERALA,2004,493,3205,
CANNANORE,KERALA,2004,489,3202,
CHALAKUDY,KERALA,2019,486,3211,
CHIRAYINKIL,KERALA,2004,485,3219,
ERNAKULAM,KERALA,2019,487,3212,
IDUKKI,KERALA,2019,488,3213,
KANNUR,KERALA,2019,489,3202,
KASARAGOD,KERALA,2019,490,3201,
KOLLAM,KERALA,2019,491,3218,
KOTTAYAM,KERALA,2019,492,3214,
KOZHIKODE,KERALA,2019,493,3205,
MALAPPURAM,KERALA,2019,494,3206,
MANJERI,KERALA,2004,494,3206,
MAVELIKARA,KERALA,2004,495,3216,
MAVELIKKARA,KERALA,2019,495,3216,
MUKUNDAPURAM,KERALA,2004,,,abolished
MUVATTUPUZHA,KERALA,2004,,,abolished
OTTAPALAM,KERALA,2004,,,abolished
PALAKKAD,KERALA,2019,496,3208,
PALGHAT,KERALA,2004,496,3208,
PATHANAMTHITTA,KERALA,2019,497,3217,
PONNANI,KERALA,2019,498,3207,
QUILON,KERALA,2004,491,3218,
THIRUVANANTHAPURAM,KERALA,2019,499,3220,
THRISSUR,KERALA,2019,500,3210,
TRICHUR,KERALA,2004,500,3210,
TRIVANDRUM,KERALA,2004,499,3220,
VADAKARA,KERALA,2019,501,3203,
WAYANAD,KERALA,2019,502,3204,
LAKSHADWEEP,LAKSHADWEEP,2019,482,3101,
BALAGHAT,MADHYA PRADESH,2019,305,2315,
BETUL,MADHYA PRADESH,2019,306,2329,
BHIND,MADHYA PRADESH,2019,307,2302,
BHOPAL,MADHYA PRADESH,2019,308,2319,
CHHINDWARA,MADHYA PRADESH,2019,309,2316,
DAMOH,MADHYA PRADESH,2019,310,2307,
DEWAS,MADHYA PRADESH,2019,311,2321,
DHAR,MADHYA PRADESH,2019,312,2325,
GUNA,MADHYA PRADESH,2019,313,2304,
GWALIOR,MADHYA PRADESH,2019,314,2303,
HOSHANGABAD,MADHYA PRADESH,2019,315,2317,
INDORE,MADHYA PRADESH,2019,316,2326,
JABALPUR,MADHYA PRADESH,2019,317,2313,
JHABUA,MADHYA PRADESH,2004,325,2324,abolished
KHAJURAHO,MADHYA PRADESH,2019,318,2308,
KHANDWA,MADHYA PRADESH,2019,319,2328,
KHARGONE,MADHYA PRADESH,2019,320,2327,
MANDLA,MADHYA PRADESH,2019,321,2314,
MANDSAUR,MADHYA PRADESH,2004,322,2323,abolished
MANDSOUR,MADHYA PRADESH,2019,322,2323,
MORENA,MADHYA PRADESH,2019,323,2301,
RAJGARH,MADHYA PRADESH,2019,324,2320,
RATLAM,MADHYA PRADESH,2019,325,2324,
REWA,MADHYA PRADESH,2019,326,2310,
SAGAR,MADHYA PRADESH,2019,327,2305,
SATNA,MADHYA PRADESH,2019,328,2309,
SEONI,MADHYA PRADESH,2004,,,abolished
SHAHDOL,MADHYA PRADESH,2019,329,2312,
SHAHDOL (ST),MADHYA PRADESH,2014,329,2312,
SHAJAPUR,MADHYA PRADESH,2004,,,abolished
SIDHI,MADHYA PRADESH,2019,330,2311,
TIKAMGARH,MADHYA PRADESH,2019,331,2306,
UJJAIN,MADHYA PRADESH,2019,332,2322,
VIDISHA,MADHYA PRADESH,2019,333,2318,
AHMEDNAGAR,MAHARASHTRA,2019,362,2737,
AKOLA,MAHARASHTRA,2019,363,2706,
AMRAVATI,MAHARASHTRA,2019,364,2707,
AURANGABAD,MAHARASHTRA,2019,365,2719,
BARAMATI,MAHARASHTRA,2019,366,2735,
BEED,MAHARASHTRA,2019,367,2739,
BHANDARA,MAHARASHTRA,2004,368,2711,
BHANDARA GONDIYA,MAHARASHTRA,2019,368,2711,
BHANDARA-GONDIYA,MAHARASHTRA,2014,368,2711,
BHIWANDI,MAHARASHTRA,2019,369,2723,
BULDHANA,MAHARASHTRA,2019,370,2705,
CHANDRAPUR,MAHARASHTRA,2019,371,2713,
CHIMUR,MAHARASHTRA,2004,,,abolished
DAHANU,MAHARASHTRA,2004,,,abolished
DHULE,MAHARASHTRA,2019,372,2702,
DINDORI,MAHARASHTRA,2019,373,2720,
ERANDOL,MAHARASHTRA,2004,,,abolished
GADCHIROLI CHIMUR,MAHARASHTRA,2019,374,2712,
GADCHIROLI-CHIMUR,MAHARASHTRA,2009,374,2712,
HATKANANGLE,MAHARASHTRA,2019,375,2748,
HINGOLI,MAHARASHTRA,2019,376,2715,
ICHALKARANJI,MAHARASHTRA,2004,,,abolished
JALGAON,MAHARASHTRA,2019,377,2703,
JALNA,MAHARASHTRA,2019,378,2718,
KALYAN,MAHARASHTRA,2019,379,2724,
KARAD,MAHARASHTRA,2004,,,abolished
KHED,MAHARASHTRA,2004,,,abolished
KOLABA,MAHARASHTRA,2004,,,abolished
KOLHAPUR,MAHARASHTRA,2019,380,2747,
KOPARGAON,MAHARASHTRA,2004,,,abolished
LATUR,MAHARASHTRA,2019,381,2741,
MADHA,MAHARASHTRA,2019,382,2743,
MALEGAON,MAHARASHTRA,2004,,,abolished
MAVAL,MAHARASHTRA,2019,383,2733,
MUMBAI NORTH,MAHARASHTRA,2019,384,2726,
MUMBAI NORTH CENTRAL,MAHARASHTRA,2019,385,2729,
MUMBAI NORTH EAST,MAHARASHTRA,2019,386,2728,
MUMBAI NORTH WEST,MAHARASHTRA,2019,387,2727,
MUMBAI SOUTH,MAHARASHTRA,2019,389,2731,
MUMBAI SOUTH CENTRAL,MAHARASHTRA,2019,388,2730,
NAGPUR,MAHARASHTRA,2019,390,2710,
NANDED,MAHARASHTRA,2019,391,2716,
NANDURBAR,MAHARASHTRA,2019,392,2701,
NASHIK,MAHARASHTRA,2019,393,2721,
OSMANABAD,MAHARASHTRA,2019,394,2740,
PALGHAR,MAHARASHTRA,2019,395,2722,
PANDHARPUR,MAHARASHTRA,2004,,,abolished
PARBHANI,MAHARASHTRA,2019,396,2717,
PUNE,MAHARASHTRA,2019,397,2734,
RAIGAD,MAHARASHTRA,2019,398,2732,
RAJAPUR,MAHARASHTRA,2004,,,abolished
RAMTEK,MAHARASHTRA,2019,399,2709,
RATNAGIRI,MAHARASHTRA,2004,,,abolished
